Ferris, Barbara/Bull, Peter
Duryea, Dan/Wymark, Patrick
Becker, Kenneth/Johnson, Ashley
Nelson, Barry/Johnson, Ashley
Patrick, Nigel/Provost, Jon
Brown, Andre Rosey/Robertson, Cliff
Gleason, Amy/Vernon, John
Nielson, Claire/Bourgeois, John
Karen, James/Bader, Diedrich
Tomlinson, David/Stiglitz, Hugo
Perego, Filippo/Haggerty, Don
Lewis, Clea/Darden, Severn
Tondo, Jerry/Olsen, Ashley
D'Costa, Danny/Hulce, Tom
Vernon, Scott/Johnson, Jason
Lee, Michele/Drake, Dolores
Hull, Dianne/Kaese, Jacqui
Evanson, Edith/Olsen, Ashley
Gooch, Bruce/Loren, Sophia
Conley, Corinne/Worden, Hank
Estelle, Laura/Vigran, Herb
Medalis, Joseph G./Hanna, Elizabeth
Jentzsch, Heber/Johnston, Shaun
Cassidy, Patrick/Adrian, Iris
Del Prete, Duilio/Johnson, Ashley
Moore, Terry/Salonga, Lea
Waldo, Janet/Clyde, Craig
Robinson, Robert Martin/Gabor, Zsa Zsa
Rivera, Chita/Coleman, Michael
Iizuka, Mayumi/Nakajima, Haruo
Wescott, Anne/Vigran, Herb
Muscat, Angelo/Edner, Bobby
Millot, Charles/Provost, Jon
Jones, Dean/Olsen, Ashley
Flavin, James/Payne, John
Bellis, Guy/Reynolds, Michael J.
Parker, Cecilia/Duncan, Sandy
War Eagle, John/O'Hara, Catherine
Tyler, Leon/Haiduc, Ion
Riberolles, Jacques/Colvig, Pinto
Cassar, Luke/Mayeska, Ir�na
Moore, Ida/Hutson, Candace
Noone, Peter/Darden, Severn
Dent, Liz/Edner, Bobby
Schultz, Joel/MacCallum, Heather Lea
Dard, Janine/Wayne, Patrick
Ferguson, Lynn/Reynolds, Debbie
Waters Jr., Wilson/Hastings, Bob
Kausch, Michael/Davis, George
Hopwood, Robin/Kolden, Scott C.
Munter, Rosie/Alderson, John
Truex, Lizanne/Connolly, Billy
Derovin, Edward/Baker, Frank
Sutherland, Kiefer/Lowry, Judith
Pelle, Shirley/Rooney, Mickey
Topp, Matthew/Baker, Frank
Herron, Matthew/Hill, Terence
Doherty, Shannen/Modo, Michel
La Bassier, Robert/Amer, Nicolas
Gunther, Ted/Reed, David
Chapman, Judith/Franciscus, James
Betts, Nigel/Davis, George
Karloff, Boris/McClure, Doug
Polinsky, 'Prince Leon'/Karras, Alex
Butala, Tony/McKenna, Virginia
Cribbins, Bernard/Haggerty, Don
Thomas, Mia/Naismith, Laurence
Zuckerman, Josh/Carney, Alan
Goodwin, Jim/Barr, Kathleen
Thomas, Jonathan Taylor/Moore, Matt
De la Brosse, Marcel/Margolyes, Miriam
Fox, Edward/Vernon, John
Geer, Raleigh/Carver, Peter
De Haas, Juliette/Angarano, Michael
Riggio, Jerry/Plowright, Joan
Hastings, Bob/Rossi-Stuart, Giacomo
Albala, Michael/Inn, Frank
Edwards, Mary Ann/Mifune, Toshir�
Bluto, Tony/Gloag, Helena
Gregson, John/P�rier, Fran�ois
Vannucchi, Luigi/Darwell, Jane
Kerns, Hubie/Rigg, Diana
Waters, Russell/Bourgeois, John
Duggan, Tommy/Cr�mieux, Henri
Janssen, Famke/Bikel, Theodore
Tsuma, William/Winters, Jonathan
Hill, Dana/Allen, Rex
Todd, Lisa/Rigg, Diana
Wingert, Sally/McCann, Chuck
Picardo, Robert/Chakiris, George
Bloom, Phil/Johnson, Jason
O'Sullivan, Brian/Arkin, Alan
Berry, Ken/Haiduc, Ion
Crosby, Bing/Johnson, Gordon
Saad, Margit/Leachman, Cloris
Davies, Stacy/Funicello, Annette
Yamanaka, Lisa/Brazeau, Jay
Patteri, Robert/Salonga, Lea
Goldstein, Shelley/Adler, Charles
Thompson, Jay/Dalton, Timothy
Cobb, Ty/Moustache
Hanley, Jim/Marks, Joe E.
Demarest, William/Reznick, Peter
Carson, Kit/Johnson, Jason
Trujillo, Sergio/Elias, Louie
Ong, Jack/Robson, Wayne
Slate, Henry/Quinn, Aileen
Brown, Phil/Coleman, Michael
Beddoe, Don/McCoy, Matt
Hibler, Winston/Abbott, John
Moss, Arnold/Duell, William
Christensen, Margaret/Baker, Karily
Persson, Essy/Greenwood, Charlotte
Laurent, Anne/Wayne, Patrick
Harris, Ray/Peil Sr., Edward
Fon, Gabi/Myhers, John
Benson, John/Johnson, Jason
Proslier, Jean-Marie/Harris, Julie
Collings, Kyle/Price, Vincent
Sherwood, Butch/Franciscus, James
Seberg, Jean/Johnson, Ashley
Lude, Christian/Wayne, Patrick
DeVito, Danny/Lawson, Twiggy
Ceniceros, Frank/Johnson, Jason
Johnson, Ronnie/Conway, Tim
Jamrog, Joe/Allen, Rex
Menard, Tina/Mifune, Toshir�
Bailey, Anthony/Carroll, Leo G.
Hansen, Larry/Baker, Stanley
Shermet, Hazel/Kline, Kevin
Shaw, Robert/Lawrence, Bill
Bergmann, Erik/Drake, Dolores
Eisley, Anthony/Baker, Karily
Armetta, Henry/Kennedy, George
Yothers, Poindexter/Chaplin, Charles
Balin, Ina/Payne, John
Feldhacker, Ralph/McCann, Chuck
Singer, Jane/Kemp, Jeremy
Redding, Otis/Brannick, Dick
Dee, Simon/Ayres, Lew
Munshin, Jules/Allen, Patrick
Gifford, Alan/Marks, Joe E.
Schleppe, Cole/Baker, Frank
Spielman, Lionel/MacLachlan, Janet
Higgins, Mike/Gough, Michael
Blue, Michele/Vigran, Herb
Gurner, Jeff/Wynn, Ed
Bennard, Fran�ois/Bouchey, Willis
Mather, Aubrey/Namath, Joe
Redgrave, Vanessa/Goodall, Caroline
Doyle, John/Johnson, Jason
Mann, Larry D./Payne, John
Thomas, Lowell/Karras, Alex
Bisset, Jacqueline/Johnson, Ashley
Akahoshi, Fred/Johnson, Jason
Dalio, Marcel/Harrison, Gregory
von der Heyde, Barbara/Rocco, Alex
Goldfinger, Michael/Robertson, Cliff
Buono, Victor/Mifune, Toshir�
Gill, Florence/Reid, Milton
Stevens, Lydia/Scales, Prunella
Qvarfordt, Carl Henrik/Driscoll, Bobby
Plasschaert, Ellen/Inn, Frank
Deuel, Geoffrey/Marks, Joe E.
Tuttle, Lurene/Darling, Jane
Randolph, John/Barr, Kathleen
Fraser, Bill/Lawrence, Bill
Kerrigan, J.M./McKenna, Virginia
Haynes, Michael/Elias, Louie
Storch, Larry/Lee, Margaret
Whitney, Peter/Hylands, Scott
Corday, Claudia/Seymour, Jane
Costello, Elvis/Howard, Rance
Lyngstad, Anni-Frid/Bakalyan, Richard
Murray, Bryan/Chalk, Gary
Hughes, Whitey/Graham, Gerrit
O'Conner, Nancy/van Vooren, Monique
Stone, Lewis/Moustache
Cash, Rosalind/Bader, Diedrich
James, Barry/Jones, Cody
Stanton, Harry/Margolyes, Miriam
Carby, Fanny/Brooke, T.L.
Fischer, Lindsay/Conried, Hans
Bundy, Reg/Walken, Christopher
Lauren, Brigitta/Green, Danny
Engel, Roy/Oliver, Tom
Dunaway, Faye/Lee, Margaret
Porretta, Frank/Rocco, Alex
Johnson, Candy/Garber, Victor
Bolger, Ray/Inn, Frank
Thor, Larry/Olsen, Ashley
Hackman, Gene/Coleman, Michael
Mulligan, Teri-Lisa/Kirk, Tommy
Bikel, Theodore/Sanders, Annette
Costa, Mary/Kaese, Jacqui
Bixby, Bill/Logan, Robert
Dugger, Florrie/Driscoll, Bobby
Coates, Phyllis/Keen, Geoffrey
Hitchcock, Keith/Reynolds, Michael J.
Wilson, Phaedra/Brand, Neville
Kranepool, Ed/Allen, Patrick
Garcia, Stella/Moustache
Bales, Barry/Hastings, Bob
Cummings, Jim)/Dalton, Timothy
Kramer, Joel/MacCallum, Heather Lea
Sinutko, Shane/Braun, Pinkas
Martin, Dewey/P�rier, Fran�ois
Hann, Joseph/Bloom, Claire
Sweeney, Garrett/McCann, Chuck
MacGeorge, Jim/Valentine, Karen
Collins, Eddie/Franciscus, James
von Leuck, Ned/Grant, Kathryn
Banes, Lisa/Clark, Petula
Martell, Donna/Duell, William
Leahey, Nicholas/Johnson, Ashley
Williams, Zack/Keir, Andrew
Johnston, Oliver/Brooke, T.L.
Wolter, Ralf/Blanc, Mel
Donald, Juliana/Allen, Rex
Connors, Chuck/Haiduc, Ion
Bellisario, Troian Avery/Foster, Jodie
Burnett, Matthew/Bikel, Theodore
Kolinski, Joseph/Lester, Tom
Kogan, Milt/Burleigh, William
Simpson, Russell/Perkins, Larry
Judd, Don A./Kirk, Tommy
Parsons, Michael/Petersen, Stewart
Dana, Barbara/Angarano, Michael
Barnes, Walter/Andrei, Damir
Caron, Yvan/Brand, Neville
Lansing, Sherry/Reynolds, Michael J.
Karagyezyan, Anait/Reynolds, Michael J.
Merton, Zienia/Henshaw, Jim
Cunningham, Bob/Harris, Julie
Cook, Barbara/Nakajima, Haruo
Farr, Jamie/Rossi-Stuart, Giacomo
Kelley, Jon/Parfitt, Judy
Davidovich, Lolita/Worden, Hank
Balluck, Franz 'Mike'/Karras, Alex
Simmons, Jean/Moustache
Peck, Gregory/Olsen, Ashley
Summers, Lorrie/Garber, Victor
Gerr, Jamie/Vigran, Herb
Petersen, Paul/Nicastro, Michelle
Lambert, Mark/Hill, Terence
McKenzie, Kevin/Andrews, Harry
Heffer, Richard/Haggerty, Don
Kosh, Pamela/Inn, Frank
Wilding, Michael/Haggerty, Don
Cook, Ancel/Crawford, John
Reed, David/Gravey, Fernand
Yachimec, Larry/Mayeska, Ir�na
Kr�ger, Hardy/Brooke, Hillary
Kruschen, Jack/Dalton, Timothy
Kokol, Robert/Robertson, Cliff
Archerd, Army/Barr, Kathleen
Heflin, Van/Reznick, Peter
McGrath, Debra/Costa, Mary
Andrews, Patty/Begley Jr., Ed
Bell, Rodney/Hutson, Candace
Nichols, Dandy/Modo, Michel
